Additional Sources ,Count 
"JACKSON WALKER LLP Austin, Dallas, Fort Worth, Houston, San Angelo, San Antonio, & Texarkana, TX",
"MERITAGE CAPITAL LLC Austin, TX",
"PATTERSON THOMA FAMILY OFFICE Dallas, TX",
"PENROSE LLC Fort Worth, TX",
"PHLOX CAPITAL MANAGEMENT LLC Dallas, TX",
"Q FAMILY OFFICE Fort Worth, TX",
"RAMEX INC Houston, TX",
"ROCKY POINT VENTURES LLC Austin, TX",
"TANGLEWOOD FAMILY OFFICE Fredericksburg, TX",
"TOLLESON WEALTH MANAGEMENT INC Dallas, TX",
"WOODS FAMILY OFFICE Houston, TX",
UTAH FAMILY OFFICES,
"ANDINA FAMILY OFFICES Lehi, UT",
"BONNEVILLE MULT-FAMILY OFFICE Provo, UT",
"CLARK CAPITAL PARTNERS Provo, UT",
"FAMILY WEALTH ADVISORS Farmington, UT",
"INTEGRATED FINANCIAL GROUP Salt Lake City, UT",
VERMONT FAMILY OFFICES,
"HUTNER CAPITAL MANAGEMENT INC Manchester, VT",
"MANCHESTER CAPITAL MANAGEMENT LLC Manchester, VT",
VIRGINIA FAMILY OFFICES,
"ALPHA OMEGA WEALTH MANAGEMENT Richmond, VA",
"JOYCEPAYNE PARTNERS Richmond, VA",
"KEEL POINT HORIZON Vienna, VA",
"PITCAIRN McLean, VA",
WASHINGTON FAMILY OFFICES,
"ANDERSON TAX LLC Seattle, WA",
"BRISTLECONE ADVISORS Bellevue & Seattle, WA",
"CLARK NUBER PS Bellevue, WA",
"EVERGREEN GAVEKAL Bellevue, WA & Portland, OR & San Francisco, CA & Napa CA",
"HOBAN FAMILY OFFICE Everett, WA",
WEST VIRGINIA FAMILY OFFICES,
"CAPITAL FIDUCIARY ADVISORS LLC Shepherdstown, WV",
"CUNNINGHAM POWELL ALEXANDER AC Morgantown, WV",
"THE BRIGHT GROUP Summersville, WV",
WISCONSIN FAMILY OFFICES,
"ENDOWMENT WEALTH MANAGEMENT INC Appleton & Milwaukee, WI & Chicago, IL",
"JACOBUS WEALTH MANAGEMENT Milwaukee, WI",
"MARSHALL STREET CAPITAL Milwaukee, WI",
"RMR ADVISORS LLC Madison, WI",
"VOGEL CONSULTING Brookfield, WI",
WYOMING FAMILY OFFICES,
"FRONTIER ADMINISTRATIVE SERVICES LLC Jackson, WY",
"GALLATIN WEALTH MANAGEMENT LLC Jackson, WY",
"THE CERTIOR GROUP LLC Wilson, WY",
"WILLOW STREET GROUP Jackson, WY",
